dataset_id,dataset_name,citation_key,year,primary_tier,multi_tier_flag,task_family,composition,public_access,n_train,n_test,split_unit,official_split_named,n_scenes_or_cameras,n_anomaly_categories,n_anomaly_events,annotation_granularity,resolution,modality,imaging_setting,typical_evaluation_metric,supervision_regimes_supported,primary_anomaly_types,source_description_verified,verification_status,notes
DS-T1-011,NWPU Campus,cao2023nwpu,2023,1,no,behavioral_video_anomaly_detection,real,yes,305,148,videos,yes,43,28,NR,frame + bounding box,1080p,RGB,large-scale multi-scene campus,frame-level and spatial metrics (study-specific),normal-only / weakly supervised (as used by citing studies),Large-scale campus multi-scene anomalies,2026-08-31,transcribed_from_manuscript,Largest scene count among the tabulated VAD corpora (43 scenes). Protocol details beyond the review table remain NR pending source-page confirmation.
DS-T1-012,CHAD (Charlotte Anomaly Dataset),pazho2023chad,2023,1,no,behavioral_video_anomaly_detection,real,yes,NR,NR,NR,NR,4,6,NR,frame + bounding box,HD,RGB,high-resolution multi-view,NR in the review table,NR,Diverse behavioral anomalies and normal activities,2026-08-31,transcribed_from_manuscript,Train/test counts are not stated in the review table and are recorded as NR rather than inferred.
DS-T2-001,Foggia surveillance fire,foggia2015fire,2015,2,no,fire_smoke_classification,real,yes,NR,NR,videos,corpus-specific,NR,NR,NR,video / image classification labels,NR,RGB,real-world surveillance cameras,classification accuracy,fully supervised classification,Fire and smoke,2026-08-31,transcribed_from_manuscript,62 videos. Early real-world surveillance fire corpus. Accuracy is dataset-specific and not comparable with detection mAP or segmentation mIoU.
DS-T2-002,BoWFire,chino2015bowfire,2015,2,no,fire_classification_and_segmentation,real,yes,NR,NR,images,NR,NR,NR,NR,classification + superpixel / segmentation,NR,RGB,web imagery,classification accuracy; region overlap (study-specific),fully supervised,Fire (no smoke column in the review table),2026-08-31,transcribed_from_manuscript,226 images. Superpixel-level fire annotation. Also appears as a FiSmo sub-collection and must not be double-counted as a separate aggregate.
DS-T2-003,FiSmo,cazzolato2017fismo,2017,2,no,fire_smoke_classification_and_segmentation,mixed,yes,NR,NR,images / videos (sub-collections),sub-collections reported separately,NR,NR,NR,classification + segmentation (varies by sub-collection),NR,RGB,mixed / web emergency-situation imagery,sub-collection specific,fully supervised,Fire and smoke,2026-08-31,transcribed_from_manuscript,"Compilation of six sub-collections. Documented subsets: Flickr-Fire (2,000 images), BoWFire (226 images), SmokeBlock (1,666 images), plus annotated video subsets. Do not quote a single aggregate size."
DS-T2-004,FireNet,jadon2019firenet,2019,2,no,fire_classification,mixed,yes,NR,NR,images,balanced binary set; split details NR,NR,2,NR,image-level binary (fire / non-fire),NR,RGB,indoor and outdoor mixed sources,classification accuracy,fully supervised; edge-oriented classifiers,Fire (binary; smoke not tabulated),2026-08-31,transcribed_from_manuscript,"Approximately 2,500 images, described as evenly divided. Preprint-associated corpus; the review records its accuracy for completeness and does not use it for state-of-the-art claims."
DS-T2-005,FLAME,shamsoshoara2021aerial,2021,2,no,fire_smoke_classification_and_segmentation,real,yes,NR,NR,images and videos,NR,NR (UAV prescribed-burn sorties),NR,NR,frame-level binary + instance segmentation masks,NR,RGB (aerial UAV),"prescribed burns, Northern Arizona; aerial viewpoint",classification labels; segmentation mIoU (e.g. Guan et al. 82.3% mIoU),fully supervised classification and segmentation,Fire and smoke,2026-08-31,transcribed_from_manuscript,"2,003 images and 39 video sequences. Aerial masks are not comparable with ground-camera detection mAP."
DS-T2-006,D-Fire,de2022dfire,2022,2,no,fire_smoke_detection,mixed,yes,NR,NR,images,NR,NR,NR,NR,bounding box (detection),NR,RGB,"indoor, forest, and urban mixed environments",detection AP/mAP at a study-specific IoU,fully supervised object detection,Fire and smoke,2026-08-31,transcribed_from_manuscript,"21,527 images. Addresses the single-environment limitation of earlier fire corpora. IoU threshold and official split remain NR in the review table."
DS-T2-007,FASDD,wang2024fasdd,2024,2,no,fire_smoke_detection,mixed,yes,NR,NR,images,NR,NR,NR,NR,bounding box for flame and smoke,NR,RGB (remote sensing + ground),"heterogeneous fire types, smoke densities, and environments",detection AP/mAP (study-specific),fully supervised object detection,Fire and smoke,2026-08-31,transcribed_from_manuscript,"Largest tabulated fire/smoke set (>120,000 images). Heterogeneity is the design goal; protocol-level comparability still requires matched splits and IoU."
DS-T3-001,Ribnick et al. tampering corpus,ribnick2006realtime,2006,3,no,camera_tampering_detection,real,partial,NR,NR,videos,no public standard split,NR,NR,30+,study-specific event labels,640x480,RGB,real demonstrations of physical tampering,real-time detection; FAR not standardized,handcrafted / DSP change detection,Spray; physical displacement,2026-08-31,transcribed_from_manuscript,40+ videos. Pre-2010 seminal context. Partial public access. Small study-specific collection.
DS-T3-002,UHCTD,mantini2019uhctd,2019,3,no,camera_tampering_detection,synthetic faults on real feeds,yes,NR,NR,hours of video,protocol-specific,2,3,synthetic,tampering-type labels on injected faults,NR,RGB,"two real surveillance cameras; synthetic covered, defocused, and moved faults",protocol-specific (classification / EER; FAR not a community standard),supervised baselines and feature time-series methods,Covered; defocused; moved,2026-08-31,transcribed_from_manuscript,Principal public camera-tampering benchmark in the review (>288 hours). Two-camera limitation and limited gradual-fault coverage are the main external-validity constraints.
