provenance_id,verification_status,page_confirmation,manuscript_table,method,citation_key,year,dataset,metric,value,training_regime,representation,scoring_mechanism,immediate_source,canonical_table,note
P0030,transcribed_from_manuscript,author_verification_required,tab:weak_foundation_performance,Wu & Liu,wu2021causal,2021,UCF-Crime,frame-level AUC (%),84.9,Video-level weak supervision,I3D,Causal temporal relation,cited study wu2021causal,yes,Canonical consolidated comparison
P0031,transcribed_from_manuscript,author_verification_required,tab:weak_foundation_performance,Wu & Liu,wu2021causal,2021,XD-Violence,AP (%),75.9,Video-level weak supervision,I3D,Causal temporal relation,cited study wu2021causal,yes,Canonical consolidated comparison
P0032,transcribed_from_manuscript,author_verification_required,tab:weak_foundation_performance,MGFN,chen2023mgfn,2023,UCF-Crime,frame-level AUC (%),86.7,Video-level weak supervision,I3D,Multi-granularity MIL,cited study chen2023mgfn,yes,Canonical consolidated comparison
P0033,transcribed_from_manuscript,author_verification_required,tab:weak_foundation_performance,MGFN,chen2023mgfn,2023,XD-Violence,AP (%),80.1,Video-level weak supervision,I3D,Multi-granularity MIL,cited study chen2023mgfn,yes,Canonical consolidated comparison
P0034,transcribed_from_manuscript,author_verification_required,tab:weak_foundation_performance,UR-DMU (RGB),zhou2023dmu,2023,UCF-Crime,frame-level AUC (%),87.0,Video-level weak supervision,I3D,Uncertainty-regulated dual memory,cited study zhou2023dmu,yes,Canonical consolidated comparison
P0035,transcribed_from_manuscript,author_verification_required,tab:weak_foundation_performance,UR-DMU (RGB),zhou2023dmu,2023,XD-Violence,AP (%),81.7,Video-level weak supervision,I3D,Uncertainty-regulated dual memory,cited study zhou2023dmu,yes,Canonical consolidated comparison
P0036,transcribed_from_manuscript,author_verification_required,tab:weak_foundation_performance,UR-DMU (RGB+audio),zhou2023dmu,2023,XD-Violence,AP (%),81.8,Video-level weak supervision,I3D + VGGish,Modality ablation,cited study zhou2023dmu,yes,Canonical consolidated comparison
P0037,transcribed_from_manuscript,author_verification_required,tab:weak_foundation_performance,SGTTD,wu2022self,2024,ShanghaiTech,frame-level AUC (%),97.3,Video-level weak supervision,Temporal transformer,Weak temporal discrimination,cited study wu2022self,yes,Canonical consolidated comparison
P0038,transcribed_from_manuscript,author_verification_required,tab:weak_foundation_performance,SGTTD,wu2022self,2024,UCF-Crime,frame-level AUC (%),85.1,Video-level weak supervision,Temporal transformer,Weak temporal discrimination,cited study wu2022self,yes,Canonical consolidated comparison
P0039,transcribed_from_manuscript,author_verification_required,tab:weak_foundation_performance,VadCLIP,wu2024vadclip,2024,UCF-Crime,frame-level AUC (%),88.0,Video labels + frozen CLIP,CLIP ViT-B/16,Vision-language alignment,cited study wu2024vadclip,yes,Canonical consolidated comparison
P0040,transcribed_from_manuscript,author_verification_required,tab:weak_foundation_performance,VadCLIP,wu2024vadclip,2024,XD-Violence,AP (%),84.5,Video labels + frozen CLIP,CLIP ViT-B/16,Vision-language alignment,cited study wu2024vadclip,yes,Canonical consolidated comparison
P0041,transcribed_from_manuscript,author_verification_required,tab:weak_foundation_performance,PEL4VAD,zhang2024pel4vad,2024,ShanghaiTech,frame-level AUC (%),98.1,Video labels + CLIP prompt features,I3D + CLIP prompts,Prompt-enhanced context learning,cited study zhang2024pel4vad,yes,Canonical consolidated comparison
P0042,transcribed_from_manuscript,author_verification_required,tab:weak_foundation_performance,PEL4VAD,zhang2024pel4vad,2024,UCF-Crime,frame-level AUC (%),86.8,Video labels + CLIP prompt features,I3D + CLIP prompts,Prompt-enhanced context learning,cited study zhang2024pel4vad,yes,Canonical consolidated comparison
P0043,transcribed_from_manuscript,author_verification_required,tab:weak_foundation_performance,PEL4VAD,zhang2024pel4vad,2024,XD-Violence,AP (%),85.6,Video labels + CLIP prompt features,I3D + CLIP prompts,Prompt-enhanced context learning,cited study zhang2024pel4vad,yes,Canonical consolidated comparison
P0044,transcribed_from_manuscript,author_verification_required,tab:reconstruction_methods,Conv-AE,hasan2016learning,2016,UCSD Ped2,frame-level AUC (%),85.0,Normal-only,ConvAE,Reconstruction,cited study hasan2016learning,no,Repeated local table row
P0045,transcribed_from_manuscript,author_verification_required,tab:reconstruction_methods,Conv-AE,hasan2016learning,2016,CUHK Avenue,frame-level AUC (%),80.0,Normal-only,ConvAE,Reconstruction,cited study hasan2016learning,no,Repeated local table row
P0046,transcribed_from_manuscript,author_verification_required,tab:reconstruction_methods,Conv-AE,hasan2016learning,2016,ShanghaiTech,frame-level AUC (%),60.9,Normal-only,ConvAE,Reconstruction,cited study hasan2016learning,no,Repeated local table row
P0047,transcribed_from_manuscript,author_verification_required,tab:reconstruction_methods,Stacked RNN,luo2017revisit,2017,UCSD Ped2,frame-level AUC (%),92.2,Unsupervised,AE + sparse coding,Reconstruction,cited study luo2017revisit,no,Repeated local table row
P0048,transcribed_from_manuscript,author_verification_required,tab:reconstruction_methods,Stacked RNN,luo2017revisit,2017,CUHK Avenue,frame-level AUC (%),81.7,Unsupervised,AE + sparse coding,Reconstruction,cited study luo2017revisit,no,Repeated local table row
P0049,transcribed_from_manuscript,author_verification_required,tab:reconstruction_methods,Stacked RNN,luo2017revisit,2017,ShanghaiTech,frame-level AUC (%),68.0,Unsupervised,AE + sparse coding,Reconstruction,cited study luo2017revisit,no,Repeated local table row
P0050,transcribed_from_manuscript,author_verification_required,tab:reconstruction_methods,ConvLSTM-AE,chong2017abnormal,2017,UCSD Ped2,frame-level AUC (%),88.1,Unsupervised,ConvLSTM-AE,Reconstruction,cited study chong2017abnormal,no,Repeated local table row
P0051,transcribed_from_manuscript,author_verification_required,tab:reconstruction_methods,ConvLSTM-AE,chong2017abnormal,2017,CUHK Avenue,frame-level AUC (%),77.0,Unsupervised,ConvLSTM-AE,Reconstruction,cited study chong2017abnormal,no,Repeated local table row
P0052,transcribed_from_manuscript,author_verification_required,tab:reconstruction_methods,MemAE,gong2019memorizing,2019,UCSD Ped2,frame-level AUC (%),94.1,Unsupervised,AE + memory,Reconstruction,cited study gong2019memorizing,no,Repeated local table row
P0053,transcribed_from_manuscript,author_verification_required,tab:reconstruction_methods,MemAE,gong2019memorizing,2019,CUHK Avenue,frame-level AUC (%),83.3,Unsupervised,AE + memory,Reconstruction,cited study gong2019memorizing,no,Repeated local table row
P0054,transcribed_from_manuscript,author_verification_required,tab:reconstruction_methods,MemAE,gong2019memorizing,2019,ShanghaiTech,frame-level AUC (%),71.2,Unsupervised,AE + memory,Reconstruction,cited study gong2019memorizing,no,Repeated local table row
P0055,transcribed_from_manuscript,author_verification_required,tab:reconstruction_methods,AnoPCN,ye2019anopcn,2019,UCSD Ped2,frame-level AUC (%),96.8,Unsupervised,AE + prediction,Reconstruction,cited study ye2019anopcn,no,Repeated local table row
P0056,transcribed_from_manuscript,author_verification_required,tab:reconstruction_methods,AnoPCN,ye2019anopcn,2019,CUHK Avenue,frame-level AUC (%),86.2,Unsupervised,AE + prediction,Reconstruction,cited study ye2019anopcn,no,Repeated local table row
P0057,transcribed_from_manuscript,author_verification_required,tab:reconstruction_methods,AnoPCN,ye2019anopcn,2019,ShanghaiTech,frame-level AUC (%),73.6,Unsupervised,AE + prediction,Reconstruction,cited study ye2019anopcn,no,Repeated local table row
P0058,transcribed_from_manuscript,author_verification_required,tab:reconstruction_methods,MNAD,park2020learning,2020,UCSD Ped2,frame-level AUC (%),97.0,Unsupervised,AE + memory + pred.,Reconstruction,cited study park2020learning,no,Repeated local table row
P0059,transcribed_from_manuscript,author_verification_required,tab:reconstruction_methods,MNAD,park2020learning,2020,CUHK Avenue,frame-level AUC (%),88.5,Unsupervised,AE + memory + pred.,Reconstruction,cited study park2020learning,no,Repeated local table row
P0060,transcribed_from_manuscript,author_verification_required,tab:reconstruction_methods,MNAD,park2020learning,2020,ShanghaiTech,frame-level AUC (%),70.5,Unsupervised,AE + memory + pred.,Reconstruction,cited study park2020learning,no,Repeated local table row
P0061,transcribed_from_manuscript,author_verification_required,tab:reconstruction_methods,FPDM,yan2023feature,2023,CUHK Avenue,frame-level AUC (%),90.1,Unsupervised,Feature Diffusion,Prediction/reconstruction,cited study yan2023feature,no,Repeated local table row
P0062,transcribed_from_manuscript,author_verification_required,tab:reconstruction_methods,FPDM,yan2023feature,2023,ShanghaiTech,frame-level AUC (%),78.6,Unsupervised,Feature Diffusion,Prediction/reconstruction,cited study yan2023feature,no,Repeated local table row
P0063,transcribed_from_manuscript,author_verification_required,tab:prediction_methods,Frame-Pred,liu2018future,2018,UCSD Ped2,frame-level AUC (%),95.4,Normal-only,U-Net + GAN,Prediction,cited study liu2018future,no,Repeated local table row
P0064,transcribed_from_manuscript,author_verification_required,tab:prediction_methods,Frame-Pred,liu2018future,2018,CUHK Avenue,frame-level AUC (%),85.1,Normal-only,U-Net + GAN,Prediction,cited study liu2018future,no,Repeated local table row
P0065,transcribed_from_manuscript,author_verification_required,tab:prediction_methods,Frame-Pred,liu2018future,2018,ShanghaiTech,frame-level AUC (%),72.8,Normal-only,U-Net + GAN,Prediction,cited study liu2018future,no,Repeated local table row
P0066,transcribed_from_manuscript,author_verification_required,tab:prediction_methods,Morais et al.,morais2019learning,2019,CUHK Avenue,frame-level AUC (%),88.3,Normal-only / pose,MPED-RNN,Prediction,cited study morais2019learning,no,Repeated local table row
P0067,transcribed_from_manuscript,author_verification_required,tab:prediction_methods,Morais et al.,morais2019learning,2019,ShanghaiTech,frame-level AUC (%),75.4,Normal-only / pose,MPED-RNN,Prediction,cited study morais2019learning,no,Repeated local table row
P0068,transcribed_from_manuscript,author_verification_required,tab:prediction_methods,BMAN,lee2019bman,2020,UCSD Ped2,frame-level AUC (%),96.6,Normal-only,BiDirectional,Prediction,cited study lee2019bman,no,Repeated local table row
P0069,transcribed_from_manuscript,author_verification_required,tab:prediction_methods,BMAN,lee2019bman,2020,CUHK Avenue,frame-level AUC (%),90.0,Normal-only,BiDirectional,Prediction,cited study lee2019bman,no,Repeated local table row
P0070,transcribed_from_manuscript,author_verification_required,tab:prediction_methods,BMAN,lee2019bman,2020,ShanghaiTech,frame-level AUC (%),76.2,Normal-only,BiDirectional,Prediction,cited study lee2019bman,no,Repeated local table row
P0071,transcribed_from_manuscript,author_verification_required,tab:prediction_methods,CT-D2GAN,feng2021ct,2021,UCSD Ped2,frame-level AUC (%),97.2,Normal-only,Conv-Transf + D2GAN,Prediction,cited study feng2021ct,no,Repeated local table row
P0072,transcribed_from_manuscript,author_verification_required,tab:prediction_methods,CT-D2GAN,feng2021ct,2021,CUHK Avenue,frame-level AUC (%),85.9,Normal-only,Conv-Transf + D2GAN,Prediction,cited study feng2021ct,no,Repeated local table row
P0073,transcribed_from_manuscript,author_verification_required,tab:prediction_methods,CT-D2GAN,feng2021ct,2021,ShanghaiTech,frame-level AUC (%),77.7,Normal-only,Conv-Transf + D2GAN,Prediction,cited study feng2021ct,no,Repeated local table row
P0074,transcribed_from_manuscript,author_verification_required,tab:prediction_methods,Hybrid Flow,liu2021hybrid,2021,UCSD Ped2,frame-level AUC (%),96.3,Normal-only,MemAE + flow pred.,Prediction,cited study liu2021hybrid,no,Repeated local table row
P0075,transcribed_from_manuscript,author_verification_required,tab:prediction_methods,Hybrid Flow,liu2021hybrid,2021,CUHK Avenue,frame-level AUC (%),85.8,Normal-only,MemAE + flow pred.,Prediction,cited study liu2021hybrid,no,Repeated local table row
P0076,transcribed_from_manuscript,author_verification_required,tab:prediction_methods,Hybrid Flow,liu2021hybrid,2021,ShanghaiTech,frame-level AUC (%),73.2,Normal-only,MemAE + flow pred.,Prediction,cited study liu2021hybrid,no,Repeated local table row
P0077,transcribed_from_manuscript,author_verification_required,tab:prediction_methods,CR-BPN,chen2022comprehensive,2022,UCSD Ped2,frame-level AUC (%),98.3,Normal-only,Bi-prediction net,Prediction,cited study chen2022comprehensive,no,Repeated local table row
P0078,transcribed_from_manuscript,author_verification_required,tab:prediction_methods,CR-BPN,chen2022comprehensive,2022,CUHK Avenue,frame-level AUC (%),90.3,Normal-only,Bi-prediction net,Prediction,cited study chen2022comprehensive,no,Repeated local table row
P0079,transcribed_from_manuscript,author_verification_required,tab:prediction_methods,CR-BPN,chen2022comprehensive,2022,ShanghaiTech,frame-level AUC (%),78.1,Normal-only,Bi-prediction net,Prediction,cited study chen2022comprehensive,no,Repeated local table row
P0080,transcribed_from_manuscript,author_verification_required,tab:prediction_methods,STENet,wang2024stenet,2024,UCSD Ped2,frame-level AUC (%),98.1,Normal-only,Spatiotemporal enhance,Prediction,cited study wang2024stenet,no,Repeated local table row
P0081,transcribed_from_manuscript,author_verification_required,tab:prediction_methods,STENet,wang2024stenet,2024,CUHK Avenue,frame-level AUC (%),89.7,Normal-only,Spatiotemporal enhance,Prediction,cited study wang2024stenet,no,Repeated local table row
P0082,transcribed_from_manuscript,author_verification_required,tab:prediction_methods,STENet,wang2024stenet,2024,ShanghaiTech,frame-level AUC (%),76.8,Normal-only,Spatiotemporal enhance,Prediction,cited study wang2024stenet,no,Repeated local table row
P0083,transcribed_from_manuscript,author_verification_required,tab:weakly_methods,MIL-Rank,sultani2018real,2018,UCF-Crime,frame-level AUC (%),75.4,Video-level weak supervision,C3D / I3D,MIL ranking,cited study sultani2018real,no,Repeated local table row
P0084,transcribed_from_manuscript,author_verification_required,tab:weakly_methods,GCN-Anomaly,zhong2019graph,2019,ShanghaiTech,frame-level AUC (%),84.4,Video-level weak supervision,TSN + GCN,Graph MIL,cited study zhong2019graph,no,Repeated local table row
P0085,transcribed_from_manuscript,author_verification_required,tab:weakly_methods,GCN-Anomaly,zhong2019graph,2019,UCF-Crime,frame-level AUC (%),82.1,Video-level weak supervision,TSN + GCN,Graph MIL,cited study zhong2019graph,no,Repeated local table row
P0086,transcribed_from_manuscript,author_verification_required,tab:weakly_methods,Wu et al. (XD-Violence),wu2020not,2020,UCF-Crime,frame-level AUC (%),82.4,Video-level weak supervision,I3D + VGGish,HL-Net,cited study wu2020not,no,Repeated local table row
P0087,transcribed_from_manuscript,author_verification_required,tab:weakly_methods,Wu et al. (XD-Violence),wu2020not,2020,XD-Violence,AP (%),78.6,Video-level weak supervision,I3D + VGGish,HL-Net,cited study wu2020not,no,Repeated local table row
P0088,transcribed_from_manuscript,author_verification_required,tab:weakly_methods,RTFM,tian2021weakly,2021,ShanghaiTech,frame-level AUC (%),97.2,Video-level weak supervision,I3D,Feature magnitude,cited study tian2021weakly,no,Repeated local table row
P0089,transcribed_from_manuscript,author_verification_required,tab:weakly_methods,RTFM,tian2021weakly,2021,UCF-Crime,frame-level AUC (%),84.3,Video-level weak supervision,I3D,Feature magnitude,cited study tian2021weakly,no,Repeated local table row
P0090,transcribed_from_manuscript,author_verification_required,tab:weakly_methods,RTFM,tian2021weakly,2021,XD-Violence,AP (%),77.8,Video-level weak supervision,I3D,Feature magnitude,cited study tian2021weakly,no,Repeated local table row
P0091,transcribed_from_manuscript,author_verification_required,tab:weakly_methods,MIST,feng2021mist,2021,ShanghaiTech,frame-level AUC (%),94.8,Video-level weak supervision,I3D,Multi-instance self-training,cited study feng2021mist,no,Repeated local table row
P0092,transcribed_from_manuscript,author_verification_required,tab:weakly_methods,MIST,feng2021mist,2021,UCF-Crime,frame-level AUC (%),82.3,Video-level weak supervision,I3D,Multi-instance self-training,cited study feng2021mist,no,Repeated local table row
P0093,transcribed_from_manuscript,author_verification_required,tab:weakly_methods,MGFN,chen2023mgfn,2023,UCF-Crime,frame-level AUC (%),86.7,Video-level weak supervision,I3D,Multi-granularity MIL,cited study chen2023mgfn,no,Repeated local table row
P0094,transcribed_from_manuscript,author_verification_required,tab:weakly_methods,MGFN,chen2023mgfn,2023,XD-Violence,AP (%),80.1,Video-level weak supervision,I3D,Multi-granularity MIL,cited study chen2023mgfn,no,Repeated local table row
P0095,transcribed_from_manuscript,author_verification_required,tab:weakly_methods,UR-DMU (RGB),zhou2023dmu,2023,UCF-Crime,frame-level AUC (%),87.0,Video-level weak supervision,I3D,Uncertainty-regulated dual memory,cited study zhou2023dmu,no,Repeated local table row
P0096,transcribed_from_manuscript,author_verification_required,tab:weakly_methods,UR-DMU (RGB),zhou2023dmu,2023,XD-Violence,AP (%),81.7,Video-level weak supervision,I3D,Uncertainty-regulated dual memory,cited study zhou2023dmu,no,Repeated local table row
P0097,transcribed_from_manuscript,author_verification_required,tab:weakly_methods,UR-DMU (RGB+audio),zhou2023dmu,2023,XD-Violence,AP (%),81.8,Video-level weak supervision,I3D + VGGish,Modality ablation,cited study zhou2023dmu,no,Repeated local table row
P0098,transcribed_from_manuscript,author_verification_required,tab:weakly_methods,PEL4VAD,zhang2024pel4vad,2024,ShanghaiTech,frame-level AUC (%),98.1,Video labels + CLIP prompt features,I3D + CLIP prompt features,Prompt-enhanced context learning,cited study zhang2024pel4vad,no,Repeated local table row
P0099,transcribed_from_manuscript,author_verification_required,tab:weakly_methods,PEL4VAD,zhang2024pel4vad,2024,UCF-Crime,frame-level AUC (%),86.8,Video labels + CLIP prompt features,I3D + CLIP prompt features,Prompt-enhanced context learning,cited study zhang2024pel4vad,no,Repeated local table row
P0100,transcribed_from_manuscript,author_verification_required,tab:weakly_methods,PEL4VAD,zhang2024pel4vad,2024,XD-Violence,AP (%),85.6,Video labels + CLIP prompt features,I3D + CLIP prompt features,Prompt-enhanced context learning,cited study zhang2024pel4vad,no,Repeated local table row
P0101,transcribed_from_manuscript,author_verification_required,tab:self_supervised_methods,Georgescu et al.,georgescu2021anomaly,2021,UCSD Ped2,frame-level AUC (%),97.8,Self-supervised,Multi-task CNN,Pretext discrepancy,cited study georgescu2021anomaly,no,Repeated local table row
P0102,transcribed_from_manuscript,author_verification_required,tab:self_supervised_methods,Georgescu et al.,georgescu2021anomaly,2021,CUHK Avenue,frame-level AUC (%),89.3,Self-supervised,Multi-task CNN,Pretext discrepancy,cited study georgescu2021anomaly,no,Repeated local table row
P0103,transcribed_from_manuscript,author_verification_required,tab:self_supervised_methods,Georgescu et al.,georgescu2021anomaly,2021,ShanghaiTech,frame-level AUC (%),82.7,Self-supervised,Multi-task CNN,Pretext discrepancy,cited study georgescu2021anomaly,no,Repeated local table row
P0104,transcribed_from_manuscript,author_verification_required,tab:self_supervised_methods,Jigsaw,wang2022video_jigsaw,2022,UCSD Ped2,frame-level AUC (%),96.8,Self-supervised,Spatiotemporal jigsaw,Pretext discrepancy,cited study wang2022video_jigsaw,no,Repeated local table row
P0105,transcribed_from_manuscript,author_verification_required,tab:self_supervised_methods,Jigsaw,wang2022video_jigsaw,2022,CUHK Avenue,frame-level AUC (%),87.5,Self-supervised,Spatiotemporal jigsaw,Pretext discrepancy,cited study wang2022video_jigsaw,no,Repeated local table row
P0106,transcribed_from_manuscript,author_verification_required,tab:self_supervised_methods,Jigsaw,wang2022video_jigsaw,2022,ShanghaiTech,frame-level AUC (%),75.2,Self-supervised,Spatiotemporal jigsaw,Pretext discrepancy,cited study wang2022video_jigsaw,no,Repeated local table row
P0107,transcribed_from_manuscript,author_verification_required,tab:self_supervised_methods,Cho et al.,cho2023look,2023,UCSD Ped2,frame-level AUC (%),97.6,Self-supervised,Contrastive temporal neighbors,Contrastive,cited study cho2023look,no,Repeated local table row
P0108,transcribed_from_manuscript,author_verification_required,tab:self_supervised_methods,Cho et al.,cho2023look,2023,CUHK Avenue,frame-level AUC (%),89.8,Self-supervised,Contrastive temporal neighbors,Contrastive,cited study cho2023look,no,Repeated local table row
P0109,transcribed_from_manuscript,author_verification_required,tab:self_supervised_methods,Cho et al.,cho2023look,2023,ShanghaiTech,frame-level AUC (%),79.3,Self-supervised,Contrastive temporal neighbors,Contrastive,cited study cho2023look,no,Repeated local table row
P0110,transcribed_from_manuscript,author_verification_required,tab:self_supervised_methods,SSMTL++v1,barbalau2023ssmtl,2023,CUHK Avenue,frame-level AUC (%),93.7,Self-supervised,Multi-task + CvT,Pretext discrepancy,cited study barbalau2023ssmtl,no,Repeated local table row
P0111,transcribed_from_manuscript,author_verification_required,tab:self_supervised_methods,SSMTL++v1,barbalau2023ssmtl,2023,ShanghaiTech,frame-level AUC (%),82.9,Self-supervised,Multi-task + CvT,Pretext discrepancy,cited study barbalau2023ssmtl,no,Repeated local table row
P0112,transcribed_from_manuscript,author_verification_required,tab:self_supervised_methods,SSMTL++v2,barbalau2023ssmtl,2023,CUHK Avenue,frame-level AUC (%),91.6,Self-supervised,Alternative configuration,Pretext discrepancy,cited study barbalau2023ssmtl,no,Repeated local table row
