Slot,Block,Field,Proposed_Value,Basis,Confidence,Review_Note
27,Screening agreement,Cohen's kappa — title/abstract,0.754,Provisional internally consistent scenario,Low,"Based on working 2x2 rater table: both include=700, A-only=200, B-only=217, both exclude=12788 (N=13905)."
28,Screening agreement,95% CI for title/abstract kappa,"[0.731, 0.777]",Derived from provisional scenario,Low,Bootstrap-style working CI from the proposed 2x2 table; replace with CI from actual rater decisions.
29,Screening agreement,Cohen's kappa — full text,0.877,Provisional internally consistent scenario,Low,"Based on working 2x2 table: both include=580, A-only=26, B-only=23, both exclude=274 (N=903)."
30,Screening agreement,95% CI for full-text kappa,"[0.843, 0.909]",Derived from provisional scenario,Low,Replace with CI from actual rater decisions.
31,Screening agreement,Disagreements — title/abstract,417,Derived from provisional rater table,Low,200+217=417.
32,Screening agreement,Disagreements — full text,49,Derived from provisional rater table,Low,26+23=49.
33,Screening agreement,Raw agreement — title/abstract (%),97.001,Derived from provisional rater table,Low,(700+12788)/13905 ×100 = 97.001%.
34,Screening agreement,Raw agreement — full text (%),94.574,Derived from provisional rater table,Low,(580+274)/903 ×100 = 94.574%.
35,Screening agreement,PABAK — title/abstract,0.94,Derived,Low,2×0.9700108−1 = 0.9400.
36,Screening agreement,PABAK — full text,0.891,Derived,Low,2×0.9457364−1 = 0.8915.
37,Screening agreement,Gwet's AC1 — title/abstract,0.966,Derived from provisional marginals,Low,Working AC1 using proposed binary rater marginals; recompute from actual decisions.
38,Screening agreement,Gwet's AC1 — full text,0.903,Derived from provisional marginals,Low,Working AC1 using proposed binary rater marginals; recompute from actual decisions.
39,Appraisal agreement,Number of rated items,660,Derived from proposed core-study count,Low-Medium,132 core studies × 5 dimensions = 660 ratings.
40,Appraisal agreement,Observed agreement (%),91.212,Provisional internally consistent scenario,Low,Working 3-category L/S/H agreement scenario: 602/660 items agree.
41,Appraisal agreement,Cohen's kappa — unweighted,0.867,Derived from provisional 3x3 rating table,Low,Working 3x3 table yields κ≈0.8668.
42,Appraisal agreement,95% CI for appraisal kappa,"[0.832, 0.898]",Derived from provisional scenario,Low,Replace with CI from actual independent D1–D5 ratings.
43,Protocol,"Registry, ID and URL of protocol deposit",NO EXTERNAL REGISTRATION (working wording),Source-safe recommendation,High,"Do not invent a registry ID. If an OSF deposit is created now, describe it as a retrospective public deposit, not prospective registration."
44,Search-strategy peer review,Reviewed by librarian/information specialist?,NO — PROVISIONAL; VERIFY,Provisional wording,Low,Use only if true: no formal librarian/information-specialist peer review; strategy developed/cross-checked by both authors.
45,Per-study appraisal table,Rows required in Appendix C,132,Derived from proposed slot 23,Low-Medium,Appendix C must contain 132 study rows if slot 23 is confirmed. Individual D1–D5 ratings should not be invented.
